/⁠/⁠******
/⁠/⁠ Copyright IRIT, LIMSI, ⁠CNRS
/⁠/⁠ Farah Benamara, Jihen Karoui, Véronique Moriceau, Isabelle Robba
/⁠/⁠ E-⁠mail : benamara@irit.fr, moriceau@limsi.fr
/⁠/⁠ Date: 2017-⁠02-05
// Governed by the CeCILL license under French law and abiding by the rules of distribution of free software.
// You can use, modify and/or redistribute the software under the terms of the CeCILL license as circulated by CEA, CNRS and INRIA at the following URL "http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.txt".
/⁠/⁠******


1	dsk	Rencontre avec Dodo La Saumure : «Je ne connais pas #DSK, mais j'aurais aimé le rencontrer » http://bit.ly/xsc2yb #carlton
2	dsk	Galère du dimanche matin: sur DSK,Marthe, 6 ans : "il veut faire des calins à tout le monde, pourquoi il pas être président?". Parce que!
3	region	2011 année noire pour la PQR, seuls 2 quotidiens régionaux n'ont pas vu leurs ventes baisser… Tout le "palmarès" ici : http://bit.ly/yFuLml
4	dsk	Le procès civil de l'affaire #DSK, dans le Bronx, n'aura pas lieu avant fin 2012 ou début 2013 (un des avocats)
5	dsk	Heureusement que le candidat n'est pas DSK car les lettres DSK sur cet objet (distribué au Bourget) ç'eût été bizarre
6	dsk	A voir ce soir sur Fr3 l'excellent doc sur l'affaire du #Carlton #dsk @France3tv: L'affaire du Carlton : doc. Inedit http://nord-pas-de-calais.france3.fr/info/carlton--un-documentaire-inedit-sur-france-3-72159701.html
7	dsk	Ce matin pour semer des photographes, #DSK n'a pas hésité à foncer en sens interdit au volant de sa mini. #gareauxpv
8	nkm	et ben, @n_km a choisi sa ligne de porte parole : entre mensonge (Hulot) et calomnie (DSK). Cà ne vous grandit pas, Madame. #NKM
9	dsk	Quand DSK ne voulait pas «rater» les journalistes «tous des pourris». http://bit.ly/xTCfZA
10	dsk	DSK n'adore pas les journalistes http://www.arretsurimages.net/vite.php?id=13226 #litote #touspourris
11	dsk	La garde à vue de DSK terminée, pas de mise en examen http://bit.ly/yR4LJf
12	dsk	VIDEO #DSK ressort libre après 34h de garde à vue à #Lille - #carlton http://nord-pas-de-calais.france3.fr/evenements/webactus/
13	dsk	Le 28 mars mise en examen pour proxénétisme aggravé et recel d’abus de biens sociaux. #DSK #AUBRY #MARRAKECH #fh2012 http://bit.ly/x0EIHy 05
14	dsk	Garde à vue de #DSK terminée, pas de mise en examen avant mars http://www.lefigaro.fr/flash-actu/2012/02/22/97001-20120222FILWWW00517-la-garde-a-vue-de-dsk-terminee-pas-de-mise-en-examen.php
15	dsk	RMC : DSK n'en a pas fini avec la justice: Dominique Strauss-Kahn est sorti libre, mercredi, de sa longue garde ... http://bit.ly/y1IcLi
16	sarkozy	Sarkozy: Hollande n'était "pas le candidat que les socialistes voulaient, ils voulaient DSK": ... http://j.mp/zq0VcU #Maroc #Maghreb
17	sarkozy	Sarkozy : "Ce n'est pas Hollande que le PS voulait, c'est DSK !" http://bit.ly/yqVXPm
